School,Matched,Unmatched,Total,Matched_Percent,Unmatched_Percent
Queen's,96,4,100,96.00,4.00
Toronto,254,8,262,96.95,3.05
McMaster,191,11,202,94.55,5.45
Alberta,158,9,167,94.61,5.39
Calgary,152,12,164,92.68,7.32
UBC,277,11,288,96.18,3.82
