School,Matched,Unmatched,Total,Matched_Percent,Unmatched_Percent
Queen's,93,4,97,95.88,4.12
Toronto,247,28,275,89.82,10.18
McMaster,199,12,211,94.31,5.69
Alberta,146,9,155,94.19,5.81
Calgary,143,12,155,92.26,7.74
UBC,266,18,284,93.66,6.34
