School,Matched,Unmatched,Total,Matched_Percent,Unmatched_Percent
Queen's,98,5,103,95.15,4.85
Toronto,246,10,256,96.09,3.91
McMaster,201,12,213,94.37,5.63
Alberta,157,7,164,95.73,4.27
Calgary,154,10,164,93.90,6.10
UBC,285,12,297,95.96,4.04
